s11,s12,s13,s14,s15,s16,s17,s18,s21,s22,s23,s24,s25,s26,s27,s28,IngsInRow,IngIn1,IngIn2,ingredientforslider,VegQuestionLoop.thisRepN,VegQuestionLoop.thisTrialN,VegQuestionLoop.thisN,VegQuestionLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Iter.thisRepN,Iter.thisTrialN,Iter.thisN,Iter.thisIndex,BreakConditional.thisRepN,BreakConditional.thisTrialN,BreakConditional.thisN,BreakConditional.thisIndex,RatingLoop.thisRepN,RatingLoop.thisTrialN,RatingLoop.thisN,RatingLoop.thisIndex,TextHeader.started,TextHeader.stopped,InfoSheetTxt.started,InfoSheetTxt.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,MainInstruction.started,MainInstruction.stopped,MainInstruction_2.started,MainInstruction_2.stopped,VegQuestionText.started,VegQuestionText.stopped,VegResp.keys,VegResp.rt,VegResp.started,VegResp.stopped,text.started,text.stopped,ConfirmResp.keys,ConfirmResp.rt,ConfirmResp.started,ConfirmResp.stopped,Decision.keys,Decision.rt,Decision.started,Decision.stopped,Sandwich1.started,Sandwich1.stopped,Or.started,Or.stopped,Sandwich2.started,Sandwich2.stopped,Instr.started,Instr.stopped,Ingredients1.started,Ingredients1.stopped,Ingredients2.started,Ingredients2.stopped,InstructionEndOfTrial.started,InstructionEndOfTrial.stopped,TrialCounter.started,TrialCounter.stopped,BreakText.started,BreakText.stopped,RatingInstrText.started,RatingInstrText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,SliderDescription.started,SliderDescription.stopped,slider.response,slider.rt,slider.started,slider.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sequence,participant,date,expName,psychopyVersion,frameRate,
Chicken,Pepper jack cheese,Ranch dressing,None,None,None,None,None,Salami,Provolone cheese,Lettuce,Tomatoes,Mayonnaise,Mustard,None,None,6,3,6,,,,,,0,11,11,65,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5653429000085453],218.75979630000074,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,218.02193540000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pastrami,Swiss cheese,Coleslaw,None,None,None,None,None,Chicken,Cheddar cheese,Bacon,Avocado,Ranch dressing,None,None,None,5,3,5,,,,,,0,12,12,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.1068197999993572],220.21081279999635,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,219.45914180000545,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pastrami,Swiss cheese,Coleslaw,None,None,None,None,None,Chicken,Cheddar cheese,Bacon,Avocado,Ranch dressing,None,None,None,5,3,5,,,,,,0,12,12,70,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5970541999995476],221.22638259999803,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,220.48629739999888,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Ham,Cheddar cheese,Mayonnaise,None,None,None,None,Turkey,Garlic aioli,Bacon,Spinach,None,None,None,None,4,4,4,,,,,,0,13,13,59,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.17364930000621825],222.7091519999958,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,221.96264019999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Garlic aioli,Bacon,Spinach,None,None,None,None,Chicken,Mayonnaise,Cheddar cheese,None,None,None,None,None,4,4,3,,,,,,0,14,14,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.4944301999930758],223.80919110000832,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,223.06820799999696,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Turkey,Pepper jack cheese,Mustard,None,None,None,None,Bacon,Spinach,Tomatoes,Avocado,Mayonnaise,None,None,None,5,4,5,,,,,,0,15,15,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.15397280000615865],225.19194840001,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,224.44335420000425,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Lettuce,Tomatoes,Ranch dressing,None,None,None,None,Turkey,Gouda cheese,Avocado,Garlic aioli,Jalapenos,Tomatoes,Lettuce,None,7,4,7,,,,,,0,16,16,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.02548939999542199],226.22550110000884,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,225.48800060000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Salami,Roast beef,Turkey,Ham,Swiss cheese,Lettuce,Tomatoes,Mayonnaise,Chicken,Gouda cheese,Avocado,Basil,Bell peppers,Mayonnaise,None,None,8,8,6,,,,,,0,17,17,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.05036990001099184],227.15873769999598,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,226.4070756000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Cucumbers,Pickles,Jalapenos,Basil,Mayonnaise,None,None,Roast beef,Pastrami,Swiss cheese,Mustard,None,None,None,None,6,6,4,,,,,,0,18,18,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.09206690000428353],228.09196550000343,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,227.34499929999583,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Bacon,Feta cheese,Bell peppers,Basil,Garlic aioli,None,None,Turkey,Ham,Cheddar cheese,Mayonnaise,None,None,None,None,6,6,4,,,,,,0,19,19,42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.919920500004082],229.09167490000254,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,228.34091470000567,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Cheddar cheese,Coleslaw,Spinach,Mustard,None,None,None,Salami,Provolone cheese,Lettuce,Tomatoes,Mayonnaise,Mustard,None,None,6,5,6,,,,,,0,20,20,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.890071200003149],230.90836800000397,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,230.15697140000702,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Ham,Cheddar cheese,Mayonnaise,None,None,None,None,Turkey,Bacon,Avocado,Provolone cheese,Lettuce,Tomatoes,Onions,Ranch dressing,8,4,8,,,,,,0,21,21,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.13866399999824353],232.69137490000867,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,231.94752169999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Ham,Turkey,Mayonnaise,Cheddar cheese,Tomatoes,Spinach,Swiss cheese,Turkey,Salami,Cheddar cheese,Mayonnaise,None,None,None,None,8,8,4,,,,,,0,22,22,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.0524135000014212],233.72459389999858,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,232.9882082999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Garlic aioli,Pickles,Cucumbers,Jalapenos,Basil,None,None,Roast beef,Bacon,Turkey,Mayonnaise,None,None,None,None,6,6,4,,,,,,0,23,23,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.13391649999539368],234.6745193000097,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,233.9381907000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Onions,Bell peppers,Mushrooms,Jalapenos,American cheese,Steak,None,None,Bacon,Provolone cheese,Mushrooms,Parmesan cheese,None,None,None,None,6,6,4,,,,,,0,24,24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.08923139999387786],235.70757969999977,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,234.95454730000347,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Bacon,American cheese,Tomatoes,Onions,Pickles,None,None,Bell peppers,Provolone cheese,Cucumbers,Spinach,Tomatoes,Onions,Hummus,None,7,6,7,,,,,,0,25,25,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.10421820000919979],236.6908889000042,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,235.9426281000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Mozzarella cheese,Bell peppers,Pesto,Spinach,None,None,None,None,Ham,Lettuce,Tomatoes,Mayonnaise,Mustard,None,None,None,5,4,5,,,,,,0,26,26,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.08279119999497198],237.70729859999847,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,236.96193520000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Ham,Swiss cheese,Mustard,None,None,None,None,None,Ham,Swiss cheese,Mayonnaise,Mustard,Tomatoes,None,None,None,5,3,5,,,,,,0,27,27,75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.08352179999928921],238.65722249999817,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,237.92754220000643,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Mushrooms,Swiss cheese,Provolone cheese,Cheddar cheese,Lettuce,Tomatoes,None,None,Roast beef,Pastrami,Swiss cheese,Mustard,None,None,None,None,6,6,4,,,,,,0,28,28,74,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.009502000000793487],239.62383840000257,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,238.8872590999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Salami,Cheddar cheese,Mayonnaise,None,None,None,None,Turkey,Bacon,Avocado,Provolone cheese,Lettuce,Tomatoes,Onions,Ranch dressing,8,4,8,,,,,,0,29,29,56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.0637496999988798],240.5236506000074,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,239.7881677999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Gouda cheese,Avocado,Basil,Bell peppers,Mayonnaise,None,None,Turkey,Gouda cheese,Avocado,Garlic aioli,Jalapenos,Tomatoes,Lettuce,None,7,6,7,,,,,,0,30,30,44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.1570225999894319],241.4736658000038,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,240.73213099999703,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Mayonnaise,Cheddar cheese,None,None,None,None,None,Steak,Onions,Bell peppers,Provolone cheese,None,None,None,None,4,3,4,,,,,,0,31,31,58,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.03793099999893457],242.52462599999853,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,241.77815690000716,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Provolone cheese,Spinach,Garlic aioli,None,None,None,None,Chicken,Pickles,Basil,Tomatoes,Cucumbers,None,None,None,5,4,5,,,,,,0,32,32,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.08615489999647252],243.50657949999731,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,242.75879390000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Avocado,Mayonnaise,None,None,None,None,None,Ham,Pork,Swiss cheese,Mustard,Pickles,None,None,None,5,3,5,,,,,,0,33,33,53,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.10883889999240637],244.4894476000045,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,243.74134880000202,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Meatballs,Provolone cheese,Onions,Marinara sauce,None,None,None,None,Chicken,Mozzarella cheese,Tomatoes,Pesto,Spinach,None,None,None,5,4,5,,,,,,0,34,34,43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.005627000005915761],245.48967599999742,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,244.7498467999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Avocado,Mayonnaise,None,None,None,None,None,Chicken,Mozzarella cheese,Tomatoes,Onions,Basil,Mayonnaise,None,None,6,3,6,,,,,,0,35,35,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.7013804000016535],246.37276480000583,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,245.63448110000172,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Spinach,Tomatoes,Cucumbers,Onions,Bell peppers,Avocado,Mayonnaise,None,Turkey,Ham,Bacon,Swiss cheese,Lettuce,Tomatoes,Onions,None,7,7,7,,,,,,0,36,36,31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.21991330001037568],247.9561085000023,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,247.21332199999597,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Mozzarella cheese,Bell peppers,Pesto,Spinach,None,None,None,None,Chicken,Ham,Swiss cheese,Mayonnaise,None,None,None,None,4,4,4,,,,,,0,37,37,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.16026759998931084],249.0892928000103,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,248.34047880000435,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Pork,Ham,Swiss cheese,Pickles,Mustard,None,None,None,Steak,Turkey,Ham,Cheddar cheese,Olives,Lettuce,Tomatoes,Onions,8,5,8,,,,,,0,38,38,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.16664320000563748],250.1390326999972,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,249.39204230000905,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Spinach,Tomatoes,Avocado,Mayonnaise,None,None,None,Provolone cheese,Swiss cheese,Cheddar cheese,Parmesan cheese,Tomatoes,None,None,None,5,5,5,,,,,,0,39,39,66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.22689689999970142],251.18892050000431,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,250.44475140000577,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Cheddar cheese,Provolone cheese,Swiss cheese,Mushrooms,Mayonnaise,Lettuce,Tomatoes,None,Bacon,Turkey,Pepper jack cheese,Mustard,None,None,None,None,7,7,4,,,,,,0,40,40,62,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.19881489999534097],255.03835650000838,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,254.2960630000016,None,251.48273540000082,None,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,American cheese,Lettuce,Tomatoes,Mayonnaise,None,None,None,Pastrami,Cheddar cheese,Mustard,Pickles,None,None,None,None,5,5,4,,,,,,0,41,41,78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.11166860000230372],256.1217176000064,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,255.3843737999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Avocado,Onions,Cucumbers,None,None,None,None,None,Tuna,Basil,Cheddar cheese,Garlic aioli,Pickles,Onions,Tomatoes,Spinach,8,3,8,,,,,,0,42,42,34,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.023354799996013753],257.12150950000796,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,256.3823778000078,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Salami,Roast beef,Turkey,Ham,Swiss cheese,Lettuce,Tomatoes,Mayonnaise,Turkey,Cheddar cheese,Mayonnaise,None,None,None,None,None,8,8,3,,,,,,0,43,43,79,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.07001160000800155],258.03827170000295,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,257.29950480000116,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Ham,Turkey,Mayonnaise,Mustard,Cheddar cheese,Tomatoes,Spinach,Bacon,Lettuce,Tomatoes,Garlic aioli,Avocado,None,None,None,8,8,5,,,,,,0,44,44,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.03668249999464024],259.0047542000102,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,258.26436380000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Tuna,Basil,Cheddar cheese,Garlic aioli,Pickles,Onions,Tomatoes,Spinach,Turkey,Ham,Bacon,Provolone cheese,Lettuce,Tomatoes,Ranch dressing,None,8,8,7,,,,,,0,45,45,64,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.05029639998974744],259.93780179999885,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,259.18599749999703,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Chicken,Provolone cheese,Pesto,None,None,None,None,None,Turkey,Bacon,Jalapenos,Lettuce,Avocado,Garlic aioli,Tomatoes,None,7,3,7,,,,,,0,46,46,39,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.09782359999371693],260.8877862000081,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,260.14376810000977,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Turkey,Ham,Bacon,Swiss cheese,Lettuce,Tomatoes,Onions,None,Chicken,Pickles,Basil,Tomatoes,Cucumbers,None,None,None,7,7,5,,,,,,0,47,47,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.5564161000074819],261.87065939999593,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,261.1188666000089,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
